country,kmeans_cluster,dbscan_cluster,development_status,renewable_growth_rate,fossil_reduction_rate,energy_intensity_improvement,low_carbon_change,solar_wind_growth,current_renewable_share,current_fossil_share,cluster_name
Other Middle East (EI),3,0,Developing,2.2098859315589356,0.029447231088818016,0.0,2.906,3.544,4.221,95.779,Rapid Shifters
Other Northern Africa (EI),3,0,Developing,1.8630136986301373,0.0027239770064294427,0.0,0.272,0.29900000000000004,0.418,99.582,Rapid Shifters
Other South America (EI),3,-1,Developing,-0.18482838582073016,-0.26214601823414196,0.0,-10.840000000000003,4.414,47.809,52.191,Rapid Shifters
Other Southern Africa (EI),3,0,Developing,-0.2955536748909577,-0.053639575136757364,0.0,-4.540000000000001,1.806,10.821,89.179,Rapid Shifters
Pakistan,0,0,Developing,0.012935990801073188,0.05491965040879606,0.20215053763440866,4.870000000000001,1.3820000000000001,10.571,83.805,Fossil Dependent
Peru,3,0,Developing,0.025163642064829673,0.008618953642917503,-0.011247443762781197,0.6419999999999995,2.099,26.155,73.845,Rapid Shifters
Philippines,3,0,Developing,-0.16818791089551285,-0.031245182787283804,0.0663349917081261,-2.635,1.183,13.032,86.968,Rapid Shifters
Poland,0,0,Developed,1.7730097662030186,0.06200515415903375,0.3374570446735396,5.991,5.465,9.37,90.63,Fossil Dependent
Portugal,0,0,Developed,0.08904628437239599,0.03194380282072881,0.21968365553602803,2.350999999999999,7.74,28.753,71.247,Fossil Dependent
Qatar,3,0,Developed,0.192,0.0019199999999999307,-0.05338078291814943,0.192,0.118,0.192,99.808,Rapid Shifters
Romania,0,0,Developed,0.285827910339841,0.049532841319006406,0.39593908629441626,3.8859999999999992,5.995,17.783,74.567,Fossil Dependent
Russia,3,0,Developed,0.05770948722529918,0.01146626078132923,0.08108108108108115,1.0169999999999995,0.189,5.92,87.678,Rapid Shifters
Saudi Arabia,3,0,Developed,0.157,0.0015699999999999647,0.18499292118924024,0.157,0.157,0.157,99.843,Rapid Shifters
Singapore,3,0,Developed,1.2360515021459229,0.002886726071747138,0.2716003005259203,0.28800000000000003,0.182,0.521,99.479,Rapid Shifters
Slovakia,0,0,Developed,0.16333894635554494,0.0636250393549888,0.3110599078341014,4.648,0.871,9.672,68.405,Fossil Dependent
Slovenia,0,0,Developed,0.0449172576832152,0.04714941507478154,0.36926889714993805,3.1840000000000046,2.254,15.912,64.346,Fossil Dependent
South Africa,3,0,Developing,10.76774193548387,0.028556156329022756,0.22789539227895383,2.7780000000000005,2.8979999999999997,3.648,94.504,Rapid Shifters
South America,0,0,Developing,0.12476358788329771,0.05807484071670001,0.0,3.8830000000000027,5.399,36.277,62.979,Fossil Dependent
South Korea,3,0,Developed,5.877777777777778,0.03461485207919878,0.1344580777096114,3.0,2.1879999999999997,4.333,83.668,Rapid Shifters
South and Central America (EI),0,0,Developing,0.15315500685871047,0.062079004452563195,0.0,4.349999999999998,5.048,33.626,65.722,Fossil Dependent
Spain,0,0,Developed,0.2660400242571256,0.053466096650251614,0.14260717410323712,3.9520000000000017,7.498999999999999,20.877,69.964,Fossil Dependent
Sri Lanka,0,0,Developing,0.07598770247327134,0.021162059177045254,0.007792207792207799,1.6560000000000024,5.297,23.449,76.551,Fossil Dependent
Sweden,1,-1,Developed,0.40310409419320314,0.3017435246183559,0.19099678456591637,11.405000000000001,12.773000000000001,52.434,26.392,Steady Transitioners
Switzerland,0,0,Developed,0.1118023526046694,0.05673921344024439,0.3324968632371393,2.9720000000000013,3.2840000000000003,31.096,49.408,Fossil Dependent
Taiwan,3,0,Developed,1.7643603133159271,-0.013855736030464907,0.2994687915006641,-1.248000000000001,2.458,4.235,91.319,Rapid Shifters
Thailand,3,0,Developed,1.6356363636363638,0.0462519280205656,0.08923303834808259,4.498,1.4080000000000001,7.248,92.752,Rapid Shifters
Trinidad and Tobago,3,0,Developed,0.7999999999999998,4.0002000100053884e-05,0.1844059405940593,0.003999999999999999,0.003999999999999999,0.009,99.991,Rapid Shifters
Turkey,0,0,Developed,0.5402220324508967,0.07165024351568702,0.18316831683168322,6.3260000000000005,5.8950000000000005,18.036,81.964,Fossil Dependent
Turkmenistan,3,0,Developed,0.6666666666666666,2.0000600017953927e-05,-0.39452449567723347,0.002,0.004,0.005,99.995,Rapid Shifters
Ukraine,0,-1,Developing,2.0450487012987013,0.16743246406090243,0.3837388358484755,13.591999999999995,2.592,7.503,67.587,Fossil Dependent
United Arab Emirates,2,-1,Developed,281.20000000000005,0.05063253162658135,0.12550403225806447,5.063,1.403,1.411,94.932,Green Leaders
United Kingdom,0,0,Developed,5.267499178442327,0.1695113992101857,0.3194690265486725,15.323999999999998,10.5,19.072,75.077,Fossil Dependent
United States,0,0,Developed,0.9275079758950725,0.04949941141505145,0.20140927774515557,4.247,5.029999999999999,10.875,81.552,Fossil Dependent
Upper-middle-income countries,0,0,Developing,0.6709554710226001,0.07578266522932607,0.0,6.819000000000001,4.889,14.935,83.162,Fossil Dependent
Uzbekistan,3,0,Developing,-0.41336937822560826,-0.01753343549009186,0.4411437059041961,-1.682,0.181,2.387,97.613,Rapid Shifters
Venezuela,3,-1,Developing,0.25213937875277775,0.06763560730002914,-1.153692614770459,5.333000000000002,0.005,26.484,73.516,Rapid Shifters
Vietnam,0,-1,Developing,0.8169549924628529,0.13223111689458458,-0.1875957120980091,11.381000000000002,6.697,25.312,74.688,Fossil Dependent
Western Africa (EI),3,0,Developing,-0.31671899529042385,-0.03594334580438262,0.0,-3.2279999999999998,0.45299999999999996,6.964,93.036,Rapid Shifters
World,0,0,Developed,0.6133811230585425,0.045509189689053424,0.176284083703234,3.9369999999999994,4.323,13.504,82.573,Fossil Dependent
